thesis_id	canonical_id	source_repo_at_commit	source_sha256	executable_name	recovery_exec_binary_sha	trace_capture_build_contract	kernel_abi_name_list	input_identity_sha256	arguments	launch_geometry_expectation	cache_preference_semantics	output_checker	output_reference_or_hash	correctness_criterion	execution_environment	tracer_source_sha	nvbit_version	trace_format
# recovery_exec_binary_sha is historical sm_52 recovery evidence only. TRACE_CAPTURE_BINARY_SHA is capture-time evidence from the dedicated CUDA-11.8 sm_70 build.
bicg	polybench_bicg_4096	polybenchGpu@5584aaa7d0be810ff5eb0b61c49fb64ecc81ba4c	e6a480c75f939958edd2633d7dc1be0a14d9890c6adb7b916b0db5e2c75965bd	bicg	db1cc9246ee97389b32396d3b20294a3c8a89139067cabcda93ec87d0ed1f84b	build_m5_polybench_cuda_trace_sm70.sh --workload bicg; CUDA11.8 -arch=sm_70 -O2 -cudart shared	CAPTURE_TIME: stats/list	generated source dimensions; header/source 2a9929d6b36fb18cfc7c3b7bf9b22234cac7ad929e8ec8c12413beac1da68d7e	(none)	NX=NY=4096	default only	verify_m5_polybench_output.py bicg	N/A	zero mismatches	one visible V100; no DYNAMIC_KERNEL_RANGE	tracer@0db04452ec1c47630e4b08002067d82c6811e243	NVBit v1.8	raw trace + grouped traceg
atax	polybench_atax_4096	polybenchGpu@5584aaa7d0be810ff5eb0b61c49fb64ecc81ba4c	5966799837bce3d7fce603c7876f78c2c1bc487f97f590bf242e28ab2acbd230	atax	647851e4573103f853373323fe7cf779e363c2fb0242fe22089f64fd7d2db163	build_m5_polybench_cuda_trace_sm70.sh --workload atax; CUDA11.8 -arch=sm_70 -O2 -cudart shared	CAPTURE_TIME: stats/list	generated source dimensions; header/source 0c5e9504a086fc56b2521efe64db8da3ac1000ff49cf67f911da5579e83fbba9	(none)	NX=NY=4096	default only	verify_m5_polybench_output.py atax	N/A	zero mismatches	one visible V100	tracer@0db04452ec1c47630e4b08002067d82c6811e243	NVBit v1.8	raw trace + grouped traceg
gemv	polybench_gemver_4096	polybenchGpu@5584aaa7d0be810ff5eb0b61c49fb64ecc81ba4c	c53e178dd285504f9dd29479460f85f25fa8fcd2e40a8429bf9f5e16e14de704	gemver	04d6c9b931988faf7f715eeda40f7688e0fee98b4b114a0c86d4a0f6da2dce5d	build_m5_polybench_cuda_trace_sm70.sh --workload gemver; CUDA11.8 -arch=sm_70 -O2 -cudart shared	CAPTURE_TIME: stats/list	generated source dimensions; header/source b30c7701d9b64d10fe961474ea96e20a6b0133c95056679d1f41509dc653a7c3	(none)	N=4096	default only	verify_m5_polybench_output.py gemv	N/A	zero misses	one visible V100	tracer@0db04452ec1c47630e4b08002067d82c6811e243	NVBit v1.8	raw trace + grouped traceg
mvt	polybench_mvt_4096	polybenchGpu@5584aaa7d0be810ff5eb0b61c49fb64ecc81ba4c	44aa960a339f3702e82f4e9b2e7b29c90fae19b5a095fa1ccd0f8e6f6b76a87d	mvt	7baa7b6b06b4e7868d836a01e11f0e435a76f10d989f1107bcbaea71bd0b9d8b	build_m5_polybench_cuda_trace_sm70.sh --workload mvt; CUDA11.8 -arch=sm_70 -O2 -cudart shared	CAPTURE_TIME: stats/list	generated source dimensions; header/source 51857653a32535ed9a3ec9f3ad6b0312ee7d881f7ff6e7852f28ef0e0a10ea33	(none)	N=4096	default only	verify_m5_polybench_output.py mvt	N/A	zero mismatches	one visible V100	tracer@0db04452ec1c47630e4b08002067d82c6811e243	NVBit v1.8	raw trace + grouped traceg
syrk	polybench_syrk_1024	polybenchGpu@5584aaa7d0be810ff5eb0b61c49fb64ecc81ba4c	7e208416e8b6c59b52ab9c2ba295c06802c2d1b48968374be6a6d6a618948f1f	syrk	e711f0dd94a2db64b746a24d34bff1fca9a634814e2978cf4efa058718f0af30	build_m5_polybench_cuda_trace_sm70.sh --workload syrk; CUDA11.8 -arch=sm_70 -O2 -cudart shared	CAPTURE_TIME: stats/list	generated source dimensions; header/source e3705e34f99ded71bdf541098ee170ed4b4dc2ebef3f8c3cf4c60e964ee499e7	(none)	NI=NJ=1024	default only	verify_m5_polybench_output.py syrk	N/A	zero mismatches	one visible V100	tracer@0db04452ec1c47630e4b08002067d82c6811e243	NVBit v1.8	raw trace + grouped traceg
gesu	polybench_gesummv_4096	polybenchGpu@5584aaa7d0be810ff5eb0b61c49fb64ecc81ba4c	717c2bc6161a1d9b478282dabe994e0184821ee100996a898aba688302f384a4	gesummv	32da3ab10c6b0cdb0a7e9af569899e51ebb302a19602f9d37e3377469ab6447e	build_m5_polybench_cuda_trace_sm70.sh --workload gesummv; CUDA11.8 -arch=sm_70 -O2 -cudart shared	CAPTURE_TIME: stats/list	generated source dimensions; header/source 466b6facaf9c48e58256bb361b0036ead460a460fa405d13b4d87ff438615537	(none)	N=4096	default only	verify_m5_polybench_output.py gesu	N/A	zero mismatches	one visible V100	tracer@0db04452ec1c47630e4b08002067d82c6811e243	NVBit v1.8	raw trace + grouped traceg
syr2k	polybench_syr2k_1024	polybenchGpu@5584aaa7d0be810ff5eb0b61c49fb64ecc81ba4c	6e25029d1b77d257ed41ddee95f54ce22c4dd6ed026b53a6ee1e1d82c362f960	syr2k	1cbb363142092a6a72dfc787db63cfeb864fa0dfe2b403ff7fcf6b098b734978	build_m5_polybench_cuda_trace_sm70.sh --workload syr2k; CUDA11.8 -arch=sm_70 -O2 -cudart shared	CAPTURE_TIME: stats/list	generated source dimensions; header/source 287ae4fdd8a5f196d298fe1bb0337a06d6fde673be975814a4e09da96020d94a	(none)	NI=NJ=1024	default only	verify_m5_polybench_output.py syr2k	N/A	zero mismatches	one visible V100	tracer@0db04452ec1c47630e4b08002067d82c6811e243	NVBit v1.8	raw trace + grouped traceg
spmv	parboil_spmv_medium_bcsstk18	gpgpu-workloads@de9cf4293f418877aa9cdb6a2395338ca06674a6 + parboil@4e0fc54866546efa44fe93af57c9cef62f6c8eb9	CAPTURE_TIME: wrapper/parboil trees	spmv	08f834ff68e9e092db1f988974ddb8491bba06c176037e862aa81b839ec5900c	build_m5_parboil_spmv_trace_sm70.sh; CUDA11.8 -arch=sm_70 -O2 -cudart shared	CAPTURE_TIME: stats/list	matrix abbe1909f57d6fc17fc800446bac326bd0c5343305cf193b3aa1bc8f40c82ec9; vector d155de2b9615cae3c2bb8b60a9e82a7d26be7e80de772a5f1c0cb830d2e49061	-i bcsstk18.mtx,vector.bin -o result.bin	63 CTA expected	default only	verify_m5_parboil_spmv_output.py	result reference capture-time hash	required binary checker PASS	one visible V100	tracer@0db04452ec1c47630e4b08002067d82c6811e243	NVBit v1.8	raw trace + grouped traceg
2mm	polybench_2mm_1024	polybenchGpu@5584aaa7d0be810ff5eb0b61c49fb64ecc81ba4c	dec4988b28f94c75dfdc3b3048e1dc01511fb8cfcdc0314552451002be9d4a0f	twomm	549c0a64248596af597c1b33894608bfa32fd5e59edcd4937ac6ccc4f2d3bcf1	build_m5_polybench_cuda_trace_sm70.sh --workload twomm; CUDA11.8 -arch=sm_70 -O2 -cudart shared	CAPTURE_TIME: stats/list	generated source dimensions; header/source 9eba6b40d9a0ae23c5033ee5ce09b8c493f27d88e07f2e1244430e94b5075745	(none)	NI=NJ=NK=NL=1024	default only	verify_m5_polybench_output.py 2mm	N/A	zero mismatches	one visible V100	tracer@0db04452ec1c47630e4b08002067d82c6811e243	NVBit v1.8	raw trace + grouped traceg
2dconv	polybench_2dconvolution_4096	polybenchGpu@5584aaa7d0be810ff5eb0b61c49fb64ecc81ba4c	cef6d23d7c1d931e5427175dcf4c02a2d5e81ca2747b133222ad962d63b390d8	twodconv	8ade2d6153cdaa9816cb6c4bc4d65320fe12c0b4fa9f18f90db7d50fd4831bc1	build_m5_polybench_cuda_trace_sm70.sh --workload twodconv; CUDA11.8 -arch=sm_70 -O2 -cudart shared	CAPTURE_TIME: stats/list	generated source dimensions; header/source 51edb9574e0e942bae6f4f2a1f7bd4c9a385fcb38fbacf77fe4451b2d40dd132	(none)	NI=NJ=4096	default only	verify_m5_polybench_output.py conv2d	N/A	zero mismatches	one visible V100	tracer@0db04452ec1c47630e4b08002067d82c6811e243	NVBit v1.8	raw trace + grouped traceg
