deployment_id	config_tie_declaration	embedding_tensor_count	logits_tensor_count	physical_shared_storage_observed	verdict	missing_reason
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	True	1	0	False	SEMANTIC_PHYSICAL_DIVERGENCE_OR_UNOBSERVED	NA
76212cb557a7830eb2692351ee5329e660e83ea54c334924af9cb34391baff7d	False	1	1	False	CONFIG_AND_HEADER_CONSISTENT	NA
4398395677622815eb3719b6f78c959c7a761febc6211d83cd9d587cccc06f8c	False	1	1	False	CONFIG_AND_HEADER_CONSISTENT	NA
3cddd8e22bb36a4dc181415c6c88b0f0a149e75f976b38e110919e258ade5856	False	0	0	False	CONFIG_AND_HEADER_CONSISTENT	HEADER_LIMITED_OR_INVALID
d30463c604d39cac0d3f615032332fd8b87a4784cdd06c6185a67325a18cbb5c	False	0	0	False	CONFIG_AND_HEADER_CONSISTENT	INVALID_OR_UNAVAILABLE_SAFETENSORS_INDEX
b4ae9afb7fd28e4a130ea4cc296b8774cbf3c8d79848774bec28d46f0015db3c	False	0	0	False	CONFIG_AND_HEADER_CONSISTENT	HEADER_LIMITED_OR_INVALID
5c3ed44a71a1699685b98982603fc6b3b8bffbd79c8f14b9103c23c168133726	False	0	0	False	CONFIG_AND_HEADER_CONSISTENT	HEADER_LIMITED_OR_INVALID
c4a04c36897ef5e76a20ca30d46cf430b1ccaae9a6bdf902b16f85cbcb83704e	False	0	0	False	CONFIG_AND_HEADER_CONSISTENT	HEADER_LIMITED_OR_INVALID
33175976fa57807e7349d5054b8ee2a01fa46df20eb36747863a7f33e0f24d1c	False	0	0	False	CONFIG_AND_HEADER_CONSISTENT	NO_SAFETENSORS_HEADER_SOURCE
e905fa5f222e38ecab569c038909d8ced15be3d820b8ebcf73ab90841497661a	False	0	0	False	CONFIG_AND_HEADER_CONSISTENT	HEADER_LIMITED_OR_INVALID
