artifact	path	retention	content
functional_bfs_log	/tmp/g3-2a/bfs-functional.log	external_ephemeral	first functional reproduction; backend assertion
functional_bfs_summary	/tmp/g3-2a/bfs-functional.summary.tsv	external_ephemeral	VM-hook aggregate through first offender
functional_bfs_offender	/tmp/g3-2a/bfs-functional.offenders.tsv	external_ephemeral	exact coalesced request immediately before assertion
disabled_bfs_log	/tmp/g3-2a/bfs-disabled.log	external_ephemeral	VM_DISABLED same-trace control, exit 0
disabled_bfs_summary	/tmp/g3-2a/bfs-disabled.summary.tsv	external_ephemeral	VM_DISABLED aggregate
ideal_bfs_log	/tmp/g3-2a/bfs-ideal.log	external_ephemeral	VM_IDEAL_IDENTITY same-trace control, exit 0
ideal_bfs_summary	/tmp/g3-2a/bfs-ideal.summary.tsv	external_ephemeral	VM_IDEAL_IDENTITY aggregate
functional_lud_log	/tmp/g3-2a/lud-functional.log	external_ephemeral	bounded LUD functional control, exit 0
functional_lud_summary	/tmp/g3-2a/lud-functional.summary.tsv	external_ephemeral	LUD VM-hook aggregate
bfs_trace_kernel7	/tmp/s1-b0-smoke/rodinia_2.0-ft/9.1/bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt/traces/kernel-7.traceg	external_input	line 1237 raw active-lane STG.E.SYS address
g3_2b_unit_tests	/tmp/g3-2b-unit/	external_ephemeral	M1/M2/G3-1/G3-2/G3-2B directed executables
g3_2b_one_kernel_lud	/tmp/g3-2b/one-kernel-lud-real.log	external_ephemeral	isolated cold real-PTE LUD kernel
g3_2b_lud_controls	/tmp/g3-2b/lud-{disabled,ideal,real}.log	external_ephemeral	M1 transparency and real-PTE LUD replay
g3_2b_bfs_complete	/tmp/g3-2b/bfs-default-v1.{log,summary.tsv,offenders.tsv}	external_ephemeral	complete 56-bit BFS and all high-address VM-hook transactions
g3_2b_bfs_pressure	/tmp/g3-2b/bfs-functional.{log,summary.tsv,offenders.tsv}	external_ephemeral	bounded small-TLB L2/DRAM pressure diagnostic
g3_2c_unit_tests	/tmp/g3-2c-unit/	external_ephemeral	M1/M2/G3-1/G3-2/G3-2B/G3-2C directed executables
g3_2c_runtime	/tmp/g3-2c/{one-kernel-lud-real,lud-disabled,lud-ideal,lud-real,bfs-real}.log	external_ephemeral	hierarchy-prefix real-PTE revalidation
g3_3_unit_tests	/tmp/vm_m3_g3_3_pwc_test	external_ephemeral	OFF/FINITE/IDEAL PWC exact controller test
g3_3_one_kernel	/tmp/g3-3/one-kernel-{off,finite,ideal}.log	external_ephemeral	real-PTE PWC modes and structured statistics
g3_3_bfs	/tmp/g3-3/bfs-{off,finite}.log	external_ephemeral	PWC OFF equivalence and FINITE real PTE traffic reduction
g3_3_lud	/tmp/g3-3/lud-{disabled,ideal,finite}.log	external_ephemeral	M1 controls and finite-PWC LUD completion
